JSON,CUTOFF,QUERY_ID,QUERY_TEXT,SKIP_TIME_NANO_SECONDS
crossref1_(551MB),0,19,$.items[*].reference[*].volume,197758657.2
crossref1_(551MB),64,19,$.items[*].reference[*].volume,104454208
crossref1_(551MB),128,19,$.items[*].reference[*].volume,39104492
crossref1_(551MB),256,19,$.items[*].reference[*].volume,25945705.6
crossref1_(551MB),512,19,$.items[*].reference[*].volume,16427124.8
crossref1_(551MB),1024,19,$.items[*].reference[*].volume,7584013.4
crossref1_(551MB),2048,19,$.items[*].reference[*].volume,1791822.6
crossref1_(551MB),0,20,$.items[*].reference[*],135725091.6
crossref1_(551MB),64,20,$.items[*].reference[*],78816038.4
crossref1_(551MB),128,20,$.items[*].reference[*],35063341.6
crossref1_(551MB),256,20,$.items[*].reference[*],24007966.4
